Ref,Val,Package,PosX,PosY,Rot,Side
"C1","33pF","GSG-0402",3.146417,-5.720567,-90.000000,top
"C2","10nF","GSG-0402",3.106417,-5.720567,-90.000000,top
"C3","33pF","GSG-0402",3.226417,-5.720567,-90.000000,top
"C4","10nF","GSG-0402",3.186417,-5.720567,-90.000000,top
"C5","33pF","GSG-0402",3.195417,-5.298567,90.000000,top
"C6","10nF","GSG-0402",3.235417,-5.298567,90.000000,top
"C7","33pF","GSG-0402",3.775850,-5.938260,180.000000,top
"C8","22pF","GSG-0402",4.044945,-5.421402,-90.000000,top
"C9","100nF","GSG-0402",2.922150,-5.174165,90.000000,top
"C10","33pF","GSG-0402",3.010039,-4.950283,0.000000,top
"C12","330pF","GSG-0402",3.016417,-5.357567,-90.000000,top
"C13","330pF","GSG-0402",3.046417,-5.242567,180.000000,top
"C14","8p2","GSG-0402",3.116417,-5.312567,90.000000,top
"C15","180pF","GSG-0402",3.136417,-5.242567,0.000000,top
"C16","33pF","GSG-0402",3.767039,-5.773417,90.000000,top
"C17","100nF","GSG-0402",2.825134,-4.889520,0.000000,top
"C18","100nF","GSG-0402",2.665134,-4.889520,0.000000,top
"C20","100nF","GSG-0402",3.009039,-4.873402,0.000000,top
"C21","22pF","GSG-0402",3.592945,-5.812402,180.000000,top
"C22","33pF","GSG-0402",3.329039,-5.837417,0.000000,top
"C23","100nF","GSG-0402",3.546945,-5.253402,90.000000,top
"C24","33pF","GSG-0402",3.209039,-4.953417,-90.000000,top
"C25","100nF","GSG-0402",3.386417,-5.747567,0.000000,top
"C26","47pF","GSG-0402",2.665134,-4.769520,180.000000,top
"C27","47pF","GSG-0402",2.825134,-4.769520,0.000000,top
"C28","100nF","GSG-0402",3.386417,-5.792567,0.000000,top
"C29","33pF","GSG-0402",2.558039,-4.746417,90.000000,top
"C30","33pF","GSG-0402",2.896039,-4.952417,90.000000,top
"C31","100nF","GSG-0402",2.536134,-4.909520,90.000000,top
"C32","22pF","GSG-0402",3.592945,-5.947402,180.000000,top
"C33","33pF","GSG-0402",3.501417,-5.763567,90.000000,top
"C34","33pF","GSG-0402",3.430417,-5.282567,90.000000,top
"C35","33pF","GSG-0402",3.385417,-5.252567,90.000000,top
"C36","33pF","GSG-0402",3.340417,-5.237567,90.000000,top
"C37","33pF","GSG-0402",3.250417,-5.203567,180.000000,top
"C38","33pF","GSG-0402",2.412134,-4.924520,0.000000,top
"C39","33pF","GSG-0402",2.760945,-5.102402,90.000000,top
"C40","33pF","GSG-0402",2.412134,-4.973520,0.000000,top
"C41","100pF","GSG-0402",3.470417,-5.672567,0.000000,top
"C42","100pF","GSG-0402",3.420417,-5.392567,180.000000,top
"C43","22pF","GSG-0402",2.394945,-5.026402,180.000000,top
"C44","100nF","GSG-0402",2.656039,-5.184402,90.000000,top
"C45","33pF","GSG-0402",3.624039,-5.471417,0.000000,top
"C46","100nF","GSG-0402",3.620039,-5.528417,180.000000,top
"C47","33pF","GSG-0402",3.975945,-5.465402,90.000000,top
"C48","22pF","GSG-0402",3.878039,-5.364402,90.000000,top
"C49","100nF","GSG-0402",3.530417,-5.452567,-90.000000,top
"C50","100nF","GSG-0402",2.551039,-5.341417,90.000000,top
"C51","22pF","GSG-0402",3.803039,-5.579417,180.000000,top
"C52","100pF","GSG-0402",2.348039,-5.306417,180.000000,top
"C53","1uF","GSG-0402",2.348039,-5.264417,180.000000,top
"C54","33pF","GSG-0402",3.670039,-5.616417,-90.000000,top
"C55","33pF","GSG-0402",2.738394,-5.243874,0.000000,top
"C56","33pF","GSG-0402",3.787945,-5.398402,90.000000,top
"C57","33pF","GSG-0402",2.607039,-5.180417,90.000000,top
"C58","100nF","GSG-0402",2.286039,-5.394417,90.000000,top
"C59","100nF","GSG-0402",2.705039,-5.383417,0.000000,top
"C60","33pF","GSG-0402",2.558039,-5.250417,-90.000000,top
"C61","100nF","GSG-0402",2.572039,-5.460417,90.000000,top
"C62","100nF","GSG-0402",2.614039,-5.593417,180.000000,top
"C63","33pF","GSG-0402",2.656039,-5.733417,-90.000000,top
"C64","100nF","GSG-0402",2.517039,-5.681417,-90.000000,top
"C65","33pF","GSG-0402",2.614039,-5.733417,90.000000,top
"C66","33pF","GSG-0402",2.572039,-5.733417,90.000000,top
"C67","33pF","GSG-0402",4.326882,-5.769764,-90.000000,top
"C68","100pF","GSG-0402",4.578150,-5.432165,90.000000,top
"C69","100pF","GSG-0402",4.642150,-5.375165,0.000000,top
"C70","100pF","GSG-0402",4.326882,-5.849764,-90.000000,top
"C71","100nF","GSG-0402",3.515945,-3.969031,-90.000000,top
"C72","2.2uF","GSG-0402",3.475945,-3.969031,-90.000000,top
"C73","100nF","GSG-0402",3.630945,-3.969031,-90.000000,top
"C74","2.2uF","GSG-0402",3.590945,-3.969031,-90.000000,top
"C75","100nF","GSG-0402",3.710945,-3.969031,-90.000000,top
"C76","2.2uF","GSG-0402",3.750945,-3.969031,-90.000000,top
"C77","100nF","GSG-0402",3.560945,-3.489031,90.000000,top
"C78","2.2uF","GSG-0402",3.520945,-3.489031,90.000000,top
"C79","100nF","GSG-0402",3.368445,-3.651531,180.000000,top
"C80","2.2uF","GSG-0402",3.388445,-3.586531,90.000000,top
"C81","100nF","GSG-0402",3.343445,-3.756531,180.000000,top
"C82","2.2uF","GSG-0402",3.343445,-3.716531,180.000000,top
"C83","100nF","GSG-0402",3.353445,-3.841531,180.000000,top
"C84","22pF","GSG-0402",3.732445,-5.107902,-90.000000,top
"C85","22pF","GSG-0402",3.852445,-5.107902,-90.000000,top
"C86","22pF","GSG-0402",4.037445,-5.017902,-90.000000,top
"C87","10nF","GSG-0402",4.057445,-4.887902,0.000000,top
"C88","10nF","GSG-0402",4.087445,-4.847902,0.000000,top
"C89","10nF","GSG-0402",4.057445,-4.807902,0.000000,top
"C90","100pF","GSG-0402",3.887445,-4.667902,90.000000,top
"C91","100nF","GSG-0402",3.927445,-4.667902,90.000000,top
"C92","10nF","GSG-0402",3.617445,-4.817902,180.000000,top
"C93","10nF","GSG-0402",3.617445,-4.857902,180.000000,top
"C94","22pF","GSG-0402",3.617445,-4.952902,180.000000,top
"C95","22pF","GSG-0402",3.199945,-4.162031,0.000000,top
"C96","22pF","GSG-0402",3.322945,-4.162031,0.000000,top
"C97","330nF","GSG-0402",3.355945,-3.969031,-90.000000,top
"C98","330nF","GSG-0402",3.395945,-3.969031,-90.000000,top
"C99","22pF","GSG-0402",3.772445,-5.147902,-90.000000,top
"C100","330nF","GSG-0402",3.435945,-3.969031,-90.000000,top
"C101","22pF","GSG-0402",3.522445,-4.171531,0.000000,top
"C102","22pF","GSG-0402",3.812445,-5.147902,-90.000000,top
"C103","22pF","GSG-0402",3.645445,-4.171531,0.000000,top
"C104","3pF","GSG-0402",3.892445,-5.147902,-90.000000,top
"C105","10uF","GSG-0805",2.991150,-4.197165,90.000000,top
"C106","1uF","GSG-0402",3.967445,-4.667902,90.000000,top
"C107","22pF","GSG-0402",3.672945,-4.111031,90.000000,top
"C108","22pF","GSG-0402",3.622945,-4.111031,90.000000,top
"C109","22pF","GSG-0402",3.549945,-4.111031,90.000000,top
"C110","22pF","GSG-0402",3.499945,-4.111031,90.000000,top
"C111","3pF","GSG-0402",3.932445,-5.147902,-90.000000,top
"C112","180pF","GSG-0402",4.037445,-4.747902,-90.000000,top
"C113","100nF","GSG-0402",4.408417,-5.815811,-90.000000,top
"C114","3.3nF","GSG-0402",4.157445,-4.747902,-90.000000,top
"C115","33pF","GSG-0402",4.395150,-5.664165,180.000000,top
"C116","47pF","GSG-0402",4.318150,-5.622165,180.000000,top
"C117","100nF","GSG-0402",2.445039,-5.496417,180.000000,top
"C118","18pF","GSG-0402",5.894591,-5.407701,180.000000,top
"C119","100nF","GSG-0402",4.648417,-5.540811,90.000000,top
"C120","100nF","GSG-0402",4.742150,-5.625165,90.000000,top
"C121","100nF","GSG-0402",4.364150,-5.707165,180.000000,top
"C122","100nF","GSG-0402",4.514150,-5.534165,180.000000,top
"C123","100nF","GSG-0402",3.850945,-3.752531,0.000000,top
"C124","2.2uF","GSG-0402",3.850945,-3.712531,0.000000,top
"C125","33pF","GSG-0402",6.389354,-3.938929,0.000000,top
"C126","10uF","GSG-0805",6.234354,-3.923929,0.000000,top
"C127","10uF","GSG-0805",6.234354,-3.838929,0.000000,top
"C128","100nF","GSG-0402",5.498775,-4.154919,135.000000,top
"C129","100nF","GSG-0402",5.226539,-4.236237,135.000000,top
"C130","100nF","GSG-0402",4.975516,-4.487259,135.000000,top
"C131","100nF","GSG-0402",4.792150,-4.695165,180.000000,top
"C132","100nF","GSG-0402",4.855150,-5.038165,-135.000000,top
"C133","100nF","GSG-0402",5.088653,-5.265077,-135.000000,top
"C134","100nF","GSG-0402",5.268965,-5.445389,-135.000000,top
"C135","100nF","GSG-0402",5.615447,-5.431247,-45.000000,top
"C136","100nF","GSG-0402",5.838186,-5.208508,-45.000000,top
"C137","100nF","GSG-0402",5.894755,-5.151940,-45.000000,top
"C138","100nF","GSG-0402",5.976072,-5.070623,-45.000000,top
"C139","100nF","GSG-0402",6.032640,-5.014054,-45.000000,top
"C140","100nF","GSG-0402",6.053854,-4.674643,-45.000000,top
"C141","100nF","GSG-0402",5.753333,-4.324625,45.000000,top
"C142","100nF","GSG-0402",5.862935,-4.441297,45.000000,top
"C143","10uF","GSG-0805",6.429354,-3.713929,-90.000000,top
"C144","100nF","GSG-0402",5.607945,-5.623402,180.000000,top
"C145","10uF","GSG-0805",6.234354,-3.578929,180.000000,top
"C146","10uF","GSG-0805",6.234354,-3.493929,180.000000,top
"C147","100nF","GSG-0402",6.364354,-3.713929,-90.000000,top
"C148","100nF","GSG-0402",4.979945,-3.953402,-90.000000,top
"C149","100nF","GSG-0402",5.016150,-3.699165,0.000000,top
"C150","100nF","GSG-0402",4.709945,-3.458402,90.000000,top
"C151","100nF","GSG-0402",4.169945,-3.568402,90.000000,top
"C152","100nF","GSG-0402",4.458150,-4.341165,0.000000,top
"C153","100nF","GSG-0402",4.069945,-3.908402,180.000000,top
"C154","100nF","GSG-0402",4.225150,-4.289165,180.000000,top
"C156","47pF","GSG-0402",4.393150,-5.561165,180.000000,top
"C157","18pF","GSG-0402",6.029105,-4.586254,45.000000,top
"C158","18pF","GSG-0402",6.050318,-4.437762,-45.000000,top
"C159","100pF","GSG-0402",4.717150,-5.245165,180.000000,top
"C160","100pF","GSG-0402",2.831039,-5.425417,-90.000000,top
"C161","1uF","GSG-0402",2.789039,-5.425417,-90.000000,top
"C162","10nF","GSG-0402",2.728839,-5.629817,180.000000,top
"C163","10nF","GSG-0402",2.348939,-5.221817,0.000000,top
"C164","18pF","GSG-0402",5.937898,-5.281717,0.000000,top
"C165","100pF","GSG-0402",4.863150,-5.868165,180.000000,top
"C166","100nF","GSG-0402",4.273150,-5.842165,-90.000000,top
"C167","100nF","GSG-0402",2.780150,-4.030165,-90.000000,top
"C168","100pF","GSG-0402",5.062150,-4.321165,180.000000,top
"C169","1.8pF","GSG-0402",4.574945,-5.990402,180.000000,top
"C170","1.8pF","GSG-0402",4.382780,-5.923449,90.000000,top
"C171","1uF","GSG-0402",2.628039,-5.887417,0.000000,top
"C172","100nF","GSG-0402",2.341039,-5.626417,-90.000000,top
"C173","1pF","GSG-0402",2.418039,-5.877417,-90.000000,top
"D1","BAS70-04","SOT-23",6.308339,-5.883017,180.000000,top
"D2","VAALED","LTST-S220",1.972150,-4.621165,-90.000000,top
"D3","BAS70-04","SOT-23",6.336839,-5.669317,180.000000,top
"D4","USBLED","LTST-S220",1.972150,-4.801165,-90.000000,top
"D5","RXLED","LTST-S220",1.972150,-4.981165,-90.000000,top
"D6","TXLED","LTST-S220",1.972150,-5.161165,-90.000000,top
"D7","VCCLED","LTST-S220",1.961520,-3.943134,-90.000000,top
"D8","1V8LED","LTST-S220",1.972150,-4.441165,-90.000000,top
"D10","D_Schottky","DSN1006-2",2.401480,-5.943134,0.000000,top
"D11","CLA4611","SkyworksLimiterDiode",2.454039,-5.740417,-90.000000,top
"D12","CLA4611","SkyworksLimiterDiode",2.409039,-5.605417,90.000000,top
"D13","CLA4611","SkyworksLimiterDiode",2.298039,-5.488417,-90.000000,top
"FB2","FILTER","GSG-0805",2.863945,-4.125402,180.000000,top
"J2","RF-SHIELD-FRAME","GSG-SHIELD-BMI-S-230",3.221362,-5.285654,0.000000,top
"J3","RF-SHIELD-COVER","GSG-NULL-MODULE",3.731598,-6.105339,0.000000,top
"J4","MOUNTING_HOLE","GSG-HOLE126MIL-COPPER",2.079630,-3.395890,0.000000,top
"J5","MOUNTING_HOLE","GSG-HOLE126MIL-COPPER",2.079630,-6.033685,0.000000,top
"J6","MOUNTING_HOLE","GSG-HOLE126MIL-COPPER",6.489079,-6.033685,0.000000,top
"J7","MOUNTING_HOLE","GSG-HOLE126MIL-COPPER",6.489079,-3.395890,0.000000,top
"J8","MOUNTING_HOLE","GSG-HOLE126MIL-COPPER",4.520575,-3.395890,0.000000,top
"J9","MOUNTING_HOLE","GSG-HOLE126MIL-COPPER",4.717425,-4.970693,0.000000,top
"J10","GND_CLIP","GSG-TEST-POINT-S1751-46R",4.048134,-4.399827,-90.000000,top
"J11","Connector_USB_C_Receptacle_USB2.0","USB-C_SMD-TYPE-C-31-M-12",6.471815,-4.181323,90.000000,top
"L1","DNP","GSG-0402",3.306417,-5.692567,0.000000,top
"L2","10uH","GSG-0603",3.445417,-5.592567,-90.000000,top
"L3","10uH","GSG-0603",3.445417,-5.472567,90.000000,top
"L4","DNP","GSG-0402",3.395417,-5.532567,-90.000000,top
"L5","10uH","GSG-0603",2.481039,-5.334417,-90.000000,top
"L6","DNP","GSG-0402",3.792445,-5.207902,0.000000,top
"L7","6.2nH","GSG-0402",3.792445,-5.087902,0.000000,top
"L8","DNP","GSG-0402",3.912445,-5.207902,0.000000,top
"L9","DNP","GSG-0402",3.912445,-5.087902,0.000000,top
"L10","4u7","GSG-NRG4026",6.064354,-3.858929,-90.000000,top
"L11","4u7","GSG-NRG4026",6.064354,-3.558929,-90.000000,top
"L12","10uH","GSG-0603",2.761039,-5.572417,180.000000,top
"L13","0.56uH","GSG-0603",2.291039,-5.670417,90.000000,top
"L14","3.3uH","GSG-0603",2.290039,-5.792417,90.000000,top
"L15","ECMF02-4CMX8","QFN-8_L2.5-W1.2-P0.50-BL",6.197740,-4.181323,90.000000,top
"MARK1MM","VAL**","GSG-MARK1MM",2.938039,-5.885417,0.000000,top
"MARK1MM","VAL**","GSG-MARK1MM",6.292228,-3.317150,0.000000,top
"MARK1MM","VAL**","GSG-MARK1MM",4.136039,-4.233417,0.000000,top
"P1","1V8","GSG-HEADER-1x2",5.322150,-3.741165,0.000000,top
"P2","CLKOUT","SMA-73251-2120",6.606402,-5.010063,180.000000,top
"P3","GND","GSG-HEADER-NOMARK-1x2",5.272150,-3.991165,-90.000000,top
"P4","ANTENNA","SMA-73251-2120",1.962307,-5.639984,0.000000,top
"P5","LEDS","GSG-HEADER-2x3",3.072150,-3.491165,180.000000,top
"P6","GPO4","GSG-TESTPOINT-50MIL",3.384945,-5.603402,0.000000,top
"P7","GPO2","GSG-TESTPOINT-50MIL",3.052945,-5.646402,0.000000,top
"P8","VCC","GSG-HEADER-1x2",5.822150,-3.741165,0.000000,top
"P9","BASEBAND","GSG-HEADER-2x8",3.422150,-4.391165,180.000000,top
"P13","GPO1","GSG-TESTPOINT-50MIL",3.015150,-5.568165,0.000000,top
"P14","XCVR_CLKOUT","GSG-TESTPOINT-50MIL",4.087150,-4.959165,90.000000,top
"P15","INTR","GSG-TESTPOINT-50MIL",4.684945,-5.964402,90.000000,top
"P16","CLKIN","SMA-73251-2120",6.606402,-5.718724,180.000000,top
"P17","GPO6","GSG-TESTPOINT-50MIL",2.996150,-5.431165,0.000000,top
"P18","OEB","GSG-TESTPOINT-50MIL",4.809945,-5.801402,180.000000,top
"P19","GPO3","GSG-TESTPOINT-50MIL",3.373150,-5.666165,0.000000,top
"P20","GPIO","GSG-HEADER-2x11",6.322150,-4.941165,90.000000,top
"P21","REF_IN","GSG-TESTPOINT-50MIL",2.998150,-5.500165,0.000000,top
"P22","I2S","GSG-HEADER-2x13",5.572150,-5.791165,180.000000,top
"P23","DBGEN","GSG-TESTPOINT-50MIL",5.691150,-4.154165,-45.000000,top
"P24","TRST","GSG-TESTPOINT-50MIL",5.690945,-4.230402,-45.000000,top
"P25","LPC_ISP","GSG-HEADER-1x6",5.222150,-5.541165,0.000000,top
"P26","LPC_JTAG","GSG-50MIL-HEADER-2x5-TH",5.555913,-3.907961,-90.000000,top
"P27","MIXER_SDATA","GSG-TESTPOINT-50MIL",3.272150,-5.140165,0.000000,top
"P28","SD","GSG-HEADER-2x11",4.422150,-4.941165,90.000000,top
"P29","CPLD_JTAG","GSG-HEADER-1x2",4.722150,-4.541165,0.000000,top
"P30","BANK2_AUX","GSG-HEADER-2x10",5.422150,-3.491165,180.000000,top
"P31","MIXER_SCLK","GSG-TESTPOINT-50MIL",3.358150,-5.344165,0.000000,top
"P32","MIXER_ENX","GSG-TESTPOINT-50MIL",3.485945,-5.251402,0.000000,top
"P33","MIXER_RESETX","GSG-TESTPOINT-50MIL",3.491150,-5.345165,0.000000,top
"P34","MIX_BYPASS","GSG-TESTPOINT-50MIL",3.880039,-5.761417,0.000000,top
"P35","!MIX_BYPASS","GSG-TESTPOINT-50MIL",4.053039,-5.866417,0.000000,top
"P36","VAA","GSG-HEADER-1x2",2.872150,-4.291165,90.000000,top
"P37","SCL","GSG-TESTPOINT-50MIL",4.824150,-5.433165,0.000000,top
"P38","SDA","GSG-TESTPOINT-50MIL",4.836150,-5.220165,0.000000,top
"P39","SSP1_SCK","GSG-TESTPOINT-50MIL",3.431150,-3.487165,0.000000,top
"P40","SSP1_MOSI","GSG-TESTPOINT-50MIL",4.932150,-4.351165,0.000000,top
"P41","SSP1_MISO","GSG-TESTPOINT-50MIL",5.132150,-4.361165,180.000000,top
"P43","RX","GSG-TESTPOINT-50MIL",3.612150,-5.679165,0.000000,top
"P44","HP","GSG-TESTPOINT-50MIL",2.840039,-4.969417,0.000000,top
"P45","LP","GSG-TESTPOINT-50MIL",2.499039,-4.767417,0.000000,top
"P46","TX_MIX_BP","GSG-TESTPOINT-50MIL",2.725150,-5.179165,0.000000,top
"P47","RX_MIX_BP","GSG-TESTPOINT-50MIL",2.447150,-4.859165,0.000000,top
"P48","TX_AMP","GSG-TESTPOINT-50MIL",2.768039,-5.306417,0.000000,top
"P49","RX_AMP","GSG-TESTPOINT-50MIL",2.523039,-5.425417,0.000000,top
"P50","AMP_BYPASS","GSG-TESTPOINT-50MIL",5.230150,-5.378165,0.000000,top
"P51","!TX_AMP_PWR","GSG-TESTPOINT-50MIL",2.734439,-5.690917,0.000000,top
"P52","!RX_AMP_PWR","GSG-TESTPOINT-50MIL",2.465439,-5.173817,0.000000,top
"P53","CS_XCVR","GSG-TESTPOINT-50MIL",4.757150,-4.637165,0.000000,top
"P54","CS_AD","GSG-TESTPOINT-50MIL",3.325150,-3.586165,0.000000,top
"P55","TXENABLE","GSG-TESTPOINT-50MIL",3.627150,-5.037165,0.000000,top
"P56","RXENABLE","GSG-TESTPOINT-50MIL",3.676150,-5.088165,0.000000,top
"P57","XTAL2","GSG-TESTPOINT-50MIL",4.286150,-4.968165,0.000000,top
"P58","GCK1","GSG-TESTPOINT-50MIL",3.943150,-4.162165,0.000000,top
"P59","GCK2","GSG-TESTPOINT-50MIL",4.621150,-5.312165,0.000000,top
"P60","SGPIO_CLK","GSG-TESTPOINT-50MIL",4.739150,-5.472165,0.000000,top
"P61","DA0","GSG-TESTPOINT-50MIL",3.968150,-4.009165,0.000000,top
"P62","DA7","GSG-TESTPOINT-50MIL",4.043945,-3.689402,0.000000,top
"P63","DD0","GSG-TESTPOINT-50MIL",4.030945,-3.611402,0.000000,top
"P64","DD9","GSG-TESTPOINT-50MIL",3.651945,-3.446402,0.000000,top
"P65","DA4","GSG-TESTPOINT-50MIL",3.949150,-3.801165,0.000000,top
"P66","DD5","GSG-TESTPOINT-50MIL",4.262150,-3.532165,0.000000,top
"P67","RSSI","GSG-TESTPOINT-50MIL",6.101150,-4.742165,0.000000,top
"P68","SPIFI_CS","GSG-TESTPOINT-50MIL",5.787150,-5.277165,0.000000,top
"P69","VREGMODE","GSG-TESTPOINT-50MIL",5.772543,-3.951008,0.000000,top
"P70","EN_1V8","GSG-TESTPOINT-50MIL",2.199150,-4.413165,0.000000,top
"P72","GP_CLKIN","GSG-TESTPOINT-50MIL",5.963150,-4.396165,0.000000,top
"P73","P1_2","GSG-TESTPOINT-50MIL",5.063150,-4.113165,0.000000,top
"P74","P1_1","GSG-TESTPOINT-50MIL",5.155945,-4.147402,0.000000,top
"P75","GP_CLKIN","GSG-TESTPOINT-50MIL",5.357150,-3.848165,0.000000,top
"P76","GP_CLKIN","GSG-TESTPOINT-50MIL",5.166150,-4.058165,0.000000,top
"P77","GP_CLKIN","GSG-TESTPOINT-50MIL",5.158150,-3.816165,0.000000,top
"P78","GP_CLKIN","GSG-TESTPOINT-50MIL",4.824150,-4.284165,0.000000,top
"P79","GP_CLKIN","GSG-TESTPOINT-50MIL",4.878150,-4.554165,0.000000,top
"P80","SHIELD","GSG-HEADER-NOMARK-1x2",6.572150,-4.491165,-90.000000,top
"P81","SPIFI_SIO2","GSG-TESTPOINT-50MIL",6.136150,-5.523165,0.000000,top
"P82","SPIFI_SIO3","GSG-TESTPOINT-50MIL",5.633150,-5.533165,0.000000,top
"P83","GND","GSG-TESTPOINT-50MIL",3.993039,-5.599417,0.000000,top
"P84","GND","GSG-TESTPOINT-50MIL",3.606150,-5.876165,0.000000,top
"P85","GND","GSG-TESTPOINT-50MIL",3.386150,-5.144165,0.000000,top
"P86","GND","GSG-TESTPOINT-50MIL",3.208039,-4.870417,0.000000,top
"P87","GND","GSG-TESTPOINT-50MIL",2.602039,-5.817417,0.000000,top
"P88","GND","GSG-TESTPOINT-50MIL",2.803039,-5.187417,0.000000,top
"P89","GND","GSG-TESTPOINT-50MIL",2.990150,-5.679165,0.000000,top
"P90","GND","GSG-TESTPOINT-50MIL",2.394039,-4.113417,0.000000,top
"P91","GND","GSG-TESTPOINT-50MIL",3.704150,-5.310165,0.000000,top
"P92","GND","GSG-TESTPOINT-50MIL",4.026150,-5.269165,0.000000,top
"Q3","MOSFET_P","SOT23GDS",2.908150,-4.013165,0.000000,top
"Q4","MOSFET_P","SOT23GDS",2.516039,-5.929417,-90.000000,top
"Q5","MOSFET_P","SOT23GDS",5.973331,-4.017937,-90.000000,top
"R1","470","GSG-0402",3.066417,-5.312567,-90.000000,top
"R2","470","GSG-0402",3.091417,-5.192567,180.000000,top
"R3","22k","GSG-0402",3.156417,-5.312567,90.000000,top
"R4","51k","GSG-0402",3.275417,-5.298567,-90.000000,top
"R5","10k","GSG-0402",5.007150,-4.456165,-45.000000,top
"R6","10k","GSG-0402",5.037150,-4.426165,-45.000000,top
"R7","10k","GSG-0402",2.232150,-4.181165,90.000000,top
"R8","1k","GSG-0402",3.174945,-4.102031,-90.000000,top
"R9","1k","GSG-0402",3.224945,-4.102031,-90.000000,top
"R10","1k","GSG-0402",3.297945,-4.102031,-90.000000,top
"R11","10k","GSG-0402",5.309150,-4.159165,180.000000,top
"R13","1k","GSG-0402",3.347945,-4.102031,-90.000000,top
"R14","4k7","GSG-0402",3.347945,-4.222031,-90.000000,top
"R15","4k7","GSG-0402",3.297945,-4.222031,-90.000000,top
"R16","4k7","GSG-0402",3.224945,-4.222031,-90.000000,top
"R17","4k7","GSG-0402",3.174945,-4.222031,-90.000000,top
"R18","1k8","GSG-0402",2.052150,-4.551165,0.000000,top
"R19","39","GSG-0402",2.275150,-3.713165,90.000000,top
"R20","0","GSG-0402",3.497445,-4.231531,-90.000000,top
"R21","0","GSG-0402",3.547445,-4.231531,-90.000000,top
"R22","0","GSG-0402",3.620445,-4.231531,-90.000000,top
"R23","0","GSG-0402",3.670445,-4.231531,-90.000000,top
