"DNP","Comment","Designator","Footprint","Qty","Description"
"","8p2","C14","hackrf:GSG-0402","1","CAP CER 8.2PF 50V NP0 0402"
"","3.3nF","C114","hackrf:GSG-0402","1","CAP CER 3300PF 50V 10% X7R 0402"
"DNP","47pF","C156","hackrf:GSG-0402","1","CAP CER 47PF 50V 5% NP0 0402"
"","1pF","C173","hackrf:GSG-0402","1","CAP CER 1PF 50V 5% NP0 0402"
"","33pF","C1,C3,C5,C7,C10,C16,C22,C24,C29,C30,C33,C34,C35,C36,C37,C38,C39,C40,C45,C47,C54,C55,C56,C57,C60,C63,C65,C66,C67,C115,C125","hackrf:GSG-0402","31","CAP CER 33PF 50V 5% NP0 0402"
"","3pF","C104,C111","hackrf:GSG-0402","2","CAP CER 3PF 50V NP0 0402"
"","10uF","C105,C126,C127,C143,C145,C146","hackrf:GSG-0805","6","CAP CER 10UF 10V 10% X5R 0805"
"","18pF","C118,C157,C158,C164","hackrf:GSG-0402","4","CAP CER 18PF 50V 5% NP0 0402"
"","330pF","C12,C13","hackrf:GSG-0402","2","CAP CER 330PF 50V 10% X7R 0402"
"","180pF","C15,C112","hackrf:GSG-0402","2","CAP CER 180PF 50V 5% NP0 0402"
"","1.8pF","C169,C170","hackrf:GSG-0402","2","CAP CER 1.8PF 25V C0G/NP0 0402"
"","10nF","C2,C4,C6,C87,C88,C89,C92,C93,C162,C163","hackrf:GSG-0402","10","CAP CER 10000PF 16V 10% X7R 0402"
"","47pF","C26,C27,C116","hackrf:GSG-0402","3","CAP CER 47PF 50V 5% NP0 0402"
"","100pF","C41,C42,C52,C70,C90,C160","hackrf:GSG-0402","6","CAP CER 100PF 50V 5% NP0 0402"
"","1uF","C53,C106,C161,C171","hackrf:GSG-0402","4","CAP CER 1UF 10V 10% X5R 0402"
"DNP","100pF","C68,C69,C159,C165,C168","hackrf:GSG-0402","5","CAP CER 100PF 50V 5% NP0 0402"
"","2.2uF","C72,C74,C76,C78,C80,C82,C124","hackrf:GSG-0402","7","CAP CER 2.2UF 10V 20% X5R 0402"
"","22pF","C8,C21,C32,C43,C48,C51,C84,C85,C86,C94,C99,C102","hackrf:GSG-0402","12","CAP CER 22PF 50V 5% NP0 0402"
"","100nF","C9,C17,C18,C20,C23,C25,C28,C31,C44,C46,C49,C50,C58,C59,C61,C62,C64,C71,C73,C75,C77,C79,C81,C83,C91,C113,C117,C119,C120,C121,C122,C123,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C144,C147,C148,C149,C150,C151,C152,C153,C154,C166,C167,C172","hackrf:GSG-0402","59","CAP CER 0.1UF 10V 10% X5R 0402"
"DNP","22pF","C95,C96,C101,C103,C107,C108,C109,C110","hackrf:GSG-0402","8","CAP CER 22PF 50V 5% NP0 0402"
"","330nF","C97,C98,C100","hackrf:GSG-0402","3","CAP CER 0.33UF 10V 10% X5R 0402"
"","VAALED","D2","gsg-modules:LTST-S220","1","LED SUPR RED CLR RT ANG 0805"
"","USBLED","D4","gsg-modules:LTST-S220","1","LED GREEN CLEAR RT ANG 0805"
"","RXLED","D5","gsg-modules:LTST-S220","1","LED YELLOW CLEAR RT ANG 0805"
"","TXLED","D6","gsg-modules:LTST-S220","1","LED SUPR RED CLR RT ANG 0805"
"","VCCLED","D7","gsg-modules:LTST-S220","1","LED GREEN CLEAR RT ANG 0805"
"","1V8LED","D8","gsg-modules:LTST-S220","1","LED YELLOW CLEAR RT ANG 0805"
"","D_Schottky","D10","gsg-modules:DSN1006-2","1","DIODE SCHOTTKY 40V 1A DSN1006-2"
"","BAS70-04","D1,D3","Package_TO_SOT_SMD:SOT-23","2",""
"","CLA4611","D11,D12,D13","gsg-modules:SkyworksLimiterDiode","3","Limiter Diode"
"","FILTER","FB2","hackrf:GSG-0805","1","FERRITE CHIP 220 OHM 2000MA 0805"
"DNP","RF-SHIELD-FRAME","J2","hackrf:GSG-SHIELD-BMI-S-230","1","BOARD SHIELD 2INX1.5IN FRAME"
"DNP","RF-SHIELD-COVER","J3","hackrf:GSG-NULL-MODULE","1","BOARD SHIELD 2INX1.5IN COVER"
"DNP","GND_CLIP","J10","hackrf:GSG-TEST-POINT-S1751-46R","1","PC TEST POINT TIN SMD"
"","Connector_USB_C_Receptacle_USB2.0","J11","gsg-modules:USB-C_SMD-TYPE-C-31-M-12","1",""
"DNP","MOUNTING_HOLE","J4,J5,J6,J7,J8,J9","hackrf:GSG-HOLE126MIL-COPPER","6",""
